stage_id,question,finding,why_it_matters,action_implication,scenario_id
00,Is the NIRD data standardized and trustworthy?,"Ingested 635 facilities from full NIRD: 136 definitive burn centers, 460 stabilization sites across all 50 states.","A clean, classified facility base is critical for accurate spatial equity analysis.",Use the classified facility registry as the canonical source for all downstream supply and access metrics.,ground_only
01,Where are facilities and denominators anchored geographically?,"Geocoded 635 of 635 facilities. Joined 84,415 tracts: 67,695 urban, 16,720 rural.",Geography and rurality stratification are foundational for identifying access deserts.,Use RUCA-based rural/urban classification consistently across all pillar analyses.,ground_only
02,How is burn-center supply distributed across the country?,136 definitive burn centers across 44 states. National average: 0.05 centers per 100k.,Uneven supply distribution is a structural driver of burn care inequity.,Target capacity investments in states with zero or near-zero burn-center supply.,ground_only
03,What is the ground travel burden to reach a burn center in Minnesota?,"Median travel: 19 min urban, 124 min rural (105-minute gap). Only 52% of MN population within 30 min of a burn center.",A 100+ minute rural-urban gap reveals a structural access desert affecting nearly half a million Minnesotans.,Prioritize transfer network optimization and consider mobile stabilization assets in high-burden rural tracts.,ground_only
04,How does pediatric burn access compare to adult access in Minnesota?,Pediatric burn access (3rd-nearest center proxy): median 69 min vs adult 72 min. Children face longer travel to specialized care.,Pediatric burn patients require specialized centers; fewer options mean longer transfers.,Ensure pediatric burn protocols include pre-arranged transfer agreements for rural communities.,ground_only
05,How does transfer-aware routing change the access picture?,9% of MN tracts (138) rely on stabilize-and-transfer pathway. Transfer median: 480 min vs direct: 25 min.,Transfer pathways add critical minutes for time-sensitive burn patients.,Invest in reducing transfer times and pre-positioning resources at high-volume stabilization sites.,ground_only
06,Where is structural capacity competition highest?,Structural catchments and competition scores were computed by county; metrics reflect infrastructure capacity only and do not represent real-time bed availability.,Structural competition identifies areas where demand for burn care infrastructure is high relative to installed capacity.,Use structural capacity outputs for BEI when running full profile; do not interpret as real-time occupancy.,ground_only
07,How sensitive are access results to conditional air transport?,Stage 07 produced scenario-labeled outputs for scenario_id=ground_only. Ground-only baseline artifacts are not modified by this stage.,Air transport is a scenario/sensitivity layer only; baseline remains ground-only for comparability.,Use air sensitivity outputs only when scenario is ground_plus_air; do not overwrite ground-only deliverables.,ground_only
07,How sensitive are access results to conditional air transport?,Stage 07 produced scenario-labeled outputs for scenario_id=ground_plus_air. Ground-only baseline artifacts are not modified by this stage.,Air transport is a scenario/sensitivity layer only; baseline remains ground-only for comparability.,Use air sensitivity outputs only when scenario is ground_plus_air; do not overwrite ground-only deliverables.,ground_plus_air
08,Where are the highest-burden burn equity hotspots in Minnesota?,"151 tracts in the top 10% BEI tier, affecting 456,274 residents. All top-20 hotspots are rural. Supply scarcity and capacity gaps are the dominant drivers.",Identifying hotspots enables targeted investment to reduce the sharpest inequities.,Direct capacity expansion and transport network investments to the highest-BEI rural tracts.,ground_only
09,What are the final story-ready artifacts and one-line findings?,"Final bundle assembled: figure and table manifests, one-line findings summary, method notes, deck_ready/map_ready/metrics_ready exports.",Judge-ready deliverables require traceable artifacts and plain-language findings.,Use final_bundle for submission and validation.,ground_only
