state_fips,n_centers,burn_beds,population_total,centers_per_100k
,11,168,,0.0
01,2,34,5028092.0,0.03977651960226663
04,2,80,7172282.0,0.02788512777383823
05,1,10,3018669.0,0.03312718287430653
06,13,140,39356104.0,0.03303172488821556
08,3,42,5770790.0,0.05198594993059876
09,1,9,3611317.0,0.027690728894749477
11,2,41,670587.0,0.2982461634359151
12,4,49,21634529.0,0.018488962713262672
13,3,129,10722325.0,0.027979006418850393
15,1,7,1450589.0,0.06893751434762017
16,1,15,1854109.0,0.05393426168580164
17,5,77,12757634.0,0.039192220124828786
18,3,31,6784403.0,0.0442190713022207
19,1,17,3188836.0,0.03135940512462855
20,2,28,2935922.0,0.06812170078087906
21,1,16,4502935.0,0.02220773784209632
22,4,47,4640546.0,0.08619675357167023
23,1,6,1366949.0,0.07315561882703744
24,2,20,6161707.0,0.03245853786945728
25,3,52,6984205.0,0.0429540656381077
26,6,69,10057921.0,0.05965447531353646
27,3,50,5695292.0,0.05267508672075111
29,5,48,6154422.0,0.08124239774263123
31,1,16,1958939.0,0.0510480418226397
32,2,31,3104817.0,0.06441603482588507
34,1,12,9249063.0,0.010811906027670046
35,1,10,2112463.0,0.04733810722365315
36,9,135,19994379.0,0.04501265080550888
37,2,60,10470214.0,0.019101806324111428
39,7,82,11774683.0,0.05944958348347892
40,1,13,3970497.0,0.0251857638980712
41,1,16,4229374.0,0.02364416105078435
42,6,74,12989208.0,0.04619219278034503
44,1,0,1094250.0,0.09138679460817913
45,1,25,5142750.0,0.019444849545476643
47,3,51,6923772.0,0.043328983103429745
48,10,206,29243342.0,0.03419581797456665
49,1,15,3283809.0,0.030452441052448542
50,1,9,643816.0,0.15532388135740646
51,3,68,8624511.0,0.03478458083014794
53,1,40,7688549.0,0.013006355295387986
54,1,4,1792967.0,0.05577347491615852
55,3,28,5882128.0,0.05100195031458003
